[Lv-090. DB] Lv-090.DB,3/19/2014,11:00 AM,3/19/2014,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,3/20/2014,5:00 PM,3/20/2014,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,3/21/2014,4:00 PM,3/21/2014,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,3/24/2014,12:00 PM,3/24/2014,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,3/25/2014,12:00 PM,3/25/2014,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,3/26/2014,11:00 AM,3/26/2014,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,3/27/2014,5:00 PM,3/27/2014,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,3/28/2014,4:00 PM,3/28/2014,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/13/2013,12:00 PM,6/13/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/14/2013,12:00 PM,6/14/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/17/2013,11:00 AM,6/17/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/18/2013,5:00 PM,6/18/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/19/2013,4:00 PM,6/19/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/20/2013,12:00 PM,6/20/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/21/2013,12:00 PM,6/21/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/24/2013,11:00 AM,6/24/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/25/2013,5:00 PM,6/25/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/26/2013,4:00 PM,6/26/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Presentation about SoftServe,6/27/2013,11:00 AM,6/27/2013,11:45 AM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-090. DB] Lv-090.DB,6/27/2013,12:00 PM,6/27/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,6/28/2013,12:00 PM,6/28/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/1/2013,11:00 AM,7/1/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/2/2013,5:00 PM,7/2/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/3/2013,4:00 PM,7/3/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/4/2013,12:00 PM,7/4/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/5/2013,12:00 PM,7/5/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/8/2013,11:00 AM,7/8/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/9/2013,5:00 PM,7/9/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/10/2013,4:00 PM,7/10/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/11/2013,12:00 PM,7/11/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/15/2013,11:00 AM,7/15/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/16/2013,5:00 PM,7/16/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/17/2013,4:00 PM,7/17/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/18/2013,12:00 PM,7/18/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/19/2013,12:00 PM,7/19/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/22/2013,11:00 AM,7/22/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/23/2013,5:00 PM,7/23/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/24/2013,4:00 PM,7/24/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/25/2013,12:00 PM,7/25/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/26/2013,12:00 PM,7/26/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/29/2013,11:00 AM,7/29/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/30/2013,5:00 PM,7/30/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,7/31/2013,4:00 PM,7/31/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/1/2013,12:00 PM,8/1/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/2/2013,12:00 PM,8/2/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/5/2013,11:00 AM,8/5/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/6/2013,5:00 PM,8/6/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/7/2013,4:00 PM,8/7/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/8/2013,12:00 PM,8/8/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/9/2013,12:00 PM,8/9/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/12/2013,11:00 AM,8/12/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/13/2013,5:00 PM,8/13/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/14/2013,4:00 PM,8/14/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/15/2013,12:00 PM,8/15/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Presentation about SoftServe,8/15/2013,5:00 PM,8/15/2013,5:45 PM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-090. DB] Lv-090.DB,8/16/2013,12:00 PM,8/16/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/19/2013,11:00 AM,8/19/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/20/2013,5:00 PM,8/20/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/21/2013,4:00 PM,8/21/2013,5:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/22/2013,12:00 PM,8/22/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/23/2013,12:00 PM,8/23/2013,1:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/26/2013,11:00 AM,8/26/2013,12:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090. DB] Lv-090.DB,8/27/2013,5:00 PM,8/27/2013,6:45 PM,AKorkuna Lv-090. DB,1002A
[Lv-090.Java] Lv-090.Java,3/17/2014,4:00 PM,3/17/2014,5:45 PM,YHarasym Lv-090.Java,4131
